Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Unequal_Costs,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,1,1,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,1,1,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,1,1,1,1,0,1,0,0,1,Variable,Either
Equal_Costs,1,1,1,1,0,1,1,1,1,Variable,Either
Matched_Rewards,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,1,1,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,1,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,1,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,1,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,2,1,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,2,1,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,2,1,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,2,1,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,1,1,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,2,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,2,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,1,2,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,1,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,1,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,3,1,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,3,1,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,3,1,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,3,1,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,1,1,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,3,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,3,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,1,3,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,1,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,1,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,4,1,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,4,1,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,4,1,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,4,1,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,1,1,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,1,1,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,1,1,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,4,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,1,4,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,1,4,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,1,1,0,1,0,1,0,1,1,Variable,Either
Equal_Costs,1,1,1,0,0,1,1,0,1,Variable,Either
Equal_Costs,1,1,0,1,0,1,0,1,1,Variable,Either
Matched_Rewards,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,1,1,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,1,1,0,1,0,1,0,1,1,Variable,Either
Unequal_Costs,2,1,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,2,1,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,2,1,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,2,1,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,1,1,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,1,2,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,1,2,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,3,1,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,3,1,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,3,1,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,3,1,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,1,1,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,1,3,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,1,3,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,4,1,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,4,1,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,4,1,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,4,1,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,1,1,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,1,1,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,1,4,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,1,4,0,1,0,1,0,1,1,Variable,YellowToy
