Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Unequal_Costs,1,5,0,0,0,0,0,0,0.5,Constant,Either
Unequal_Costs,1,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,1,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Unequal_Costs,1,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,1,5,0,0,0,0,0,0,1,Constant,Either
Unequal_Costs,1,5,0,0,0,0,1,1,1,Constant,YellowToy
Unequal_Costs,1,5,1,1,0,0,0,0,1,Constant,YellowToy
Unequal_Costs,1,5,1,1,0,0,1,1,1,Constant,YellowToy
Equal_Costs,1,5,0,0,0,0,0,0,0.5,Constant,Either
Equal_Costs,1,5,0,0,0,0,1,1,0.5,Constant,RedToy
Equal_Costs,1,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Equal_Costs,1,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Equal_Costs,1,5,0,0,0,0,0,0,1,Constant,Either
Equal_Costs,1,5,0,0,0,0,1,1,1,Constant,RedToy
Equal_Costs,1,5,1,1,0,0,0,0,1,Constant,YellowToy
Equal_Costs,1,5,1,1,0,0,1,1,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,0,0,0.5,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,0.5,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,0,0,0,0,0,0,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,1,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,1,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,1,Constant,YellowToy
Inverted_Rewards,5,1,0,0,0,0,0,0,0.5,Constant,Either
Inverted_Rewards,5,1,0,0,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,1,1,1,0,0,0,0,0.5,Constant,RedToy
Inverted_Rewards,5,1,1,1,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,1,0,0,0,0,0,0,1,Constant,Either
Inverted_Rewards,5,1,0,0,0,0,1,1,1,Constant,YellowToy
Inverted_Rewards,5,1,1,1,0,0,0,0,1,Constant,RedToy
Inverted_Rewards,5,1,1,1,0,0,1,1,1,Constant,YellowToy
Unequal_Costs,2,5,0,0,0,0,0,0,0.5,Constant,Either
Unequal_Costs,2,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,2,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Unequal_Costs,2,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,2,5,0,0,0,0,0,0,1,Constant,Either
Unequal_Costs,2,5,0,0,0,0,1,1,1,Constant,YellowToy
Unequal_Costs,2,5,1,1,0,0,0,0,1,Constant,YellowToy
Unequal_Costs,2,5,1,1,0,0,1,1,1,Constant,YellowToy
Equal_Costs,2,5,0,0,0,0,0,0,0.5,Constant,Either
Equal_Costs,2,5,0,0,0,0,1,1,0.5,Constant,RedToy
Equal_Costs,2,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Equal_Costs,2,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Equal_Costs,2,5,0,0,0,0,0,0,1,Constant,Either
Equal_Costs,2,5,0,0,0,0,1,1,1,Constant,RedToy
Equal_Costs,2,5,1,1,0,0,0,0,1,Constant,YellowToy
Equal_Costs,2,5,1,1,0,0,1,1,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,0,0,0.5,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,0.5,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,0,0,0,0,0,0,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,1,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,1,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,1,Constant,YellowToy
Inverted_Rewards,5,2,0,0,0,0,0,0,0.5,Constant,Either
Inverted_Rewards,5,2,0,0,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,2,1,1,0,0,0,0,0.5,Constant,RedToy
Inverted_Rewards,5,2,1,1,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,2,0,0,0,0,0,0,1,Constant,Either
Inverted_Rewards,5,2,0,0,0,0,1,1,1,Constant,YellowToy
Inverted_Rewards,5,2,1,1,0,0,0,0,1,Constant,RedToy
Inverted_Rewards,5,2,1,1,0,0,1,1,1,Constant,YellowToy
Unequal_Costs,3,5,0,0,0,0,0,0,0.5,Constant,Either
Unequal_Costs,3,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,3,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Unequal_Costs,3,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Unequal_Costs,3,5,0,0,0,0,0,0,1,Constant,Either
Unequal_Costs,3,5,0,0,0,0,1,1,1,Constant,YellowToy
Unequal_Costs,3,5,1,1,0,0,0,0,1,Constant,YellowToy
Unequal_Costs,3,5,1,1,0,0,1,1,1,Constant,YellowToy
Equal_Costs,3,5,0,0,0,0,0,0,0.5,Constant,Either
Equal_Costs,3,5,0,0,0,0,1,1,0.5,Constant,RedToy
Equal_Costs,3,5,1,1,0,0,0,0,0.5,Constant,YellowToy
Equal_Costs,3,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Equal_Costs,3,5,0,0,0,0,0,0,1,Constant,Either
Equal_Costs,3,5,0,0,0,0,1,1,1,Constant,RedToy
Equal_Costs,3,5,1,1,0,0,0,0,1,Constant,YellowToy
Equal_Costs,3,5,1,1,0,0,1,1,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,0,0,0.5,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,0.5,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,0.5,Constant,YellowToy
Matched_Rewards,5,5,0,0,0,0,0,0,1,Constant,Either
Matched_Rewards,5,5,0,0,0,0,1,1,1,Constant,YellowToy
Matched_Rewards,5,5,1,1,0,0,0,0,1,Constant,RedToy
Matched_Rewards,5,5,1,1,0,0,1,1,1,Constant,YellowToy
Inverted_Rewards,5,3,0,0,0,0,0,0,0.5,Constant,Either
Inverted_Rewards,5,3,0,0,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,3,1,1,0,0,0,0,0.5,Constant,RedToy
Inverted_Rewards,5,3,1,1,0,0,1,1,0.5,Constant,YellowToy
Inverted_Rewards,5,3,0,0,0,0,0,0,1,Constant,Either
